OBJECTID,Community Statistical Area (CSA),2014,2015,2016,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,34.4544034207713,21.8732012170052,15.6625763088117,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,16.4543524416136,9.12951167728238,7.90932811480756,47882527.7110596,37524.9505334171
3,Belair-Edison,41.5977310328528,20.7988655164264,19.8667891593936,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,94.1176470588235,55.4901960784314,44.2322544407779,176077742.748718,150987.703638772
5,Canton,8.63672601647622,6.51076268934361,3.08641975308641,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,21.6988026308393,16.2459947158356,12.2681156344186,71541340.3063965,39962.5498347165
7,Cherry Hill,76.9814182783466,28.6310200985969,20.9704950012192,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,13.43821697804,14.585381842019,7.7359463641052,21022590.1307373,21705.411630344
9,Claremont/Armistead,29.2213182799269,17.4331728374564,13.3641112865994,61243774.4211426,40104.415980189
10,Clifton-Berea,131.865144100054,81.5660685154975,50.8405914522989,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1.37507933149989,0.423101332769198,0.460334509743747,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,28.5524568393094,15.2722443559097,8.2906608144355,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,28.2528685862741,13.7475644078805,10.0967249278805,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,241.524709057177,127.846179794232,95.7182748991622,20736554.4064941,21565.859394559
15,Edmondson Village,25.3101736972705,19.0239867659222,11.3924050632911,23563061.0443115,21504.551357829
16,Fells Point,23.5294117647059,15.3186274509804,11.6163292399601,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,24.8074161117639,16.7123645384515,8.73185094933495,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,22.3521320495186,17.0220082530949,13.6113718653614,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,34.9138790982244,23.2094167719625,21.7192361661887,27051213.4559937,26454.2692113332
20,Greater Govans,58.7215064420218,32.581764122894,17.3204756108978,22698495.7178955,22982.125714974
21,Greater Mondawmin,84.3996732915873,62.3468554315274,44.7328899377815,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,3.34392242099983,4.51429526834977,2.03334688897925,56688145.1790161,39862.7497953118
23,Greater Rosemont,56.8053993250844,35.7142857142857,22.8983851705696,42204384.5406494,32559.0762211491
24,Greenmount East,81.8598559266536,59.7576948264571,40.5669599217986,19072287.8240967,20797.4734578598
25,Hamilton,14.7590361445783,17.1686746987952,8.92170435317643,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,90.7321819508635,49.1364631476526,28.2966524875161,10215859.0836182,18552.4075815937
27,Harford/Echodale,25.7457796962923,13.1812225391197,9.14543618979749,65360039.1698608,40019.1854001996
28,Highlandtown,66.5916036673637,57.744893035226,32.551724137931,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,13.5683636785342,11.1330163516178,7.35767497470799,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,25.960629244391,13.0662769706868,12.7576818358615,24995836.2615967,43415.0595478862
31,Lauraville,15.1515151515152,15.3619528619529,12.547869306608,49665744.2354736,34419.676527973
32,Loch Raven,14.0030186147912,10.2297501257756,6.72718960224675,44147812.3265381,29314.3346718286
33,Madison/East End,154.625382262997,69.954128440367,49.9935740907338,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,11.4005435142838,9.01438324385232,7.01633310328962,62441489.2398071,43152.625699222
35,Midtown,20.038235502372,14.4445231183176,11.9174434087882,23823949.9294434,25020.0969698082
36,Midway/Coldstream,110.051871582784,69.9565400252348,38.9650872817955,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,20.0775408474107,17.1697590695098,12.4944221329763,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,4.36046511627907,3.63372093023256,1.54798761609907,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,7.67676767676768,8.61952861952862,7.27210261108566,74923987.6937256,42904.2221443544
40,Northwood,14.7360703812317,9.60410557184751,6.60938532716457,52743271.7706299,38889.8945908861
41,Oldtown/Middle East,89.6872920825017,57.7511643379907,37.6209959085919,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,88.3862911058693,49.1189121687249,28.8029788632132,89894372.2113037,47825.8629266244
43,Patterson Park North & East,56.8322432384656,29.3441753579636,21.2385730978074,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,94.1128261166507,35.9240540909712,38.7877534133223,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,73.7317046329922,51.7222405634423,31.567366283006,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,82.6293558606125,52.0063357972545,31.2622886354699,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,107.543415340087,72.2684515195369,49.2078410311493,23672092.8682861,20987.1433066354
48,South Baltimore,21.2951649502531,10.1239308779892,4.21479862628785,46353935.4255981,68440.0258266401
49,Southeastern,84.9781840847704,54.4359027633493,48.2428115015974,111251478.472229,102291.480547698
50,Southern Park Heights,47.0874771666328,26.486705906231,15.5073772959951,27876227.5908203,24052.221372193
51,Southwest Baltimore,147.347439435756,106.102422569764,56.0246016214705,37766068.8365479,28355.563581391
52,The Waverlies,28.798411122145,20.3574975173784,14.5750032245582,20383750.5437012,18733.826879757
53,Upton/Druid Heights,103.302401746725,69.3231441048035,57.8224714755366,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,129.514607775477,106.970324361629,59.9672905687806,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,60.6965174129353,32.8358208955224,21.2108442196937,45494092.9501953,42573.1244161851
